scope,id,nome,slug,count,city,municipality,district,zone,locality,needs_context,reasons,suggested_display
barbearia,1,Arlem Barber,arlem-barber,1,,,,,,false,,Localização a confirmar
barbearia,2,Barbearia Carlos Silva,barbearia-carlos-silva,1,,,,,,false,,Localização a confirmar
barbearia,3,Barbearia do Cardoso,barbearia-do-cardoso,1,,,,,,false,,Localização a confirmar
barbearia,4,Barbearia Dom Oliveira,barbearia-dom-oliveira,1,,,,,,false,,Localização a confirmar
barbearia,5,Barbearia Irmãos,barbearia-irmaos,1,,,,,,false,,Localização a confirmar
barbearia,6,Barbearia Oásis o Carlos,barbearia-oasis-o-carlos,1,,,,,,false,,Localização a confirmar
barbearia,7,Barbearia Tradição,barbearia-tradicao,1,,,,,,false,,Localização a confirmar
barbearia,8,Barbershop TalentoVanguarda,barbershop-talentovanguarda,1,,,,,,false,,Localização a confirmar
barbearia,9,Buda Barber,buda-barber,1,,,,,,false,,Localização a confirmar
barbearia,10,Champions Barber Shop,champions-barber-shop,1,,,,,,false,,Localização a confirmar
barbearia,11,El Shaddai Barber Styler,el-shaddai-barber-styler,1,,,,,,false,,Localização a confirmar
barbearia,12,Figaro's Barbershop,figaro-s-barbershop,1,,,,,,false,,Localização a confirmar
barbearia,13,Kadette Barbershop,kadette-barbershop,1,,,,,,false,,Localização a confirmar
barbearia,14,Los Moustachios,los-moustachios,1,,,,,,false,,Localização a confirmar
barbearia,15,Nova Barbearia,nova-barbearia,1,,,,,,false,,Localização a confirmar
barbearia,16,Pachioni's Barbearia,pachioni-s-barbearia,1,,,,,,false,,Localização a confirmar
barbearia,17,SOUSA Barbershop,sousa-barbershop,1,,,,,,false,,Localização a confirmar
barbearia,18,The Barbershop,the-barbershop,1,,,,,,false,,Localização a confirmar
barbearia,19,Barbearia O Seu Espaço,barbearia-o-seu-espaco,1,Alcântara,Alcântara,,,Alcântara,false,,Cidade: Alcântara
barbearia,20,Barbearia Portugal por João Alves,barbearia-portugal-por-joao-alves,1,Alcântara,Alcântara,,,Alcântara,false,,Cidade: Alcântara
barbearia,21,Barbearia do Senhor,barbearia-do-senhor,1,Arganil Arganil,Arganil Arganil,,,Arganil Arganil,false,,Cidade: Arganil Arganil
barbearia,22,Barbearia Paulo Freitas,barbearia-paulo-freitas,1,Arganil,Arganil,,,Arganil,false,,Cidade: Arganil
barbearia,23,Barbearia,barbearia,1,Azeitão,Azeitão,,,Azeitão,false,,Cidade: Azeitão
barbearia,24,Cortes & Discos,cortes-discos,1,Azeitão,Azeitão,,,Azeitão,false,,Cidade: Azeitão
barbearia,25,Domus Hair Studio,domus-hair-studio,1,Baguim do Monte (Rio Tinto),Baguim do Monte (Rio Tinto),,,Baguim do Monte (Rio Tinto),false,,Cidade: Baguim do Monte (Rio Tinto)
barbearia,26,Barbearia do Gui,barbearia-do-gui,1,Bucelas,Bucelas,,,Bucelas,false,,Cidade: Bucelas
barbearia,27,Barbearia Sa,barbearia-sa,1,Calheta,Calheta,,,Calheta,false,,Cidade: Calheta
barbearia,28,Costa Barbershop,costa-barbershop,1,Carapeços,Carapeços,,,Carapeços,false,,Cidade: Carapeços
barbearia,29,FADO - Barbearia,fado-barbearia,1,Carnaxide,Carnaxide,,,Carnaxide,false,,Cidade: Carnaxide
barbearia,30,4740 Barber Shop,4740-barber-shop,1,Esposende,Esposende,,,Esposende,false,,Cidade: Esposende
barbearia,31,Barbearia Machado,barbearia-machado,1,Ilha do Faial,Ilha do Faial,,Horta,Ilha do Faial,false,,Cidade: Ilha do Faial | Zona: Horta
barbearia,32,Barbearia São Roque,barbearia-sao-roque,1,Ilha do Pico,Ilha do Pico,,São Roque do Pico,Ilha do Pico,false,,Cidade: Ilha do Pico | Zona: São Roque do Pico
barbearia,33,Barbearia António e Caetano,barbearia-antonio-e-caetano,1,Ilha Terceira,Ilha Terceira,,Angra do Heroísmo,Ilha Terceira,false,,Cidade: Ilha Terceira | Zona: Angra do Heroísmo
barbearia,34,The Barber - Terceira,the-barber-terceira,1,Ilha Terceira,Ilha Terceira,,Angra do Heroísmo,Ilha Terceira,false,,Cidade: Ilha Terceira | Zona: Angra do Heroísmo
barbearia,35,Barbearia Carlos Vaz,barbearia-carlos-vaz,1,Odivelas,Odivelas,,,Odivelas,false,,Cidade: Odivelas
barbearia,36,MenConcept,menconcept,1,Parede - Jardins da Parede,Parede - Jardins da Parede,,,Parede - Jardins da Parede,false,,Cidade: Parede - Jardins da Parede
barbearia,37,Barbearia do Zela,barbearia-do-zela,1,Pindelo,Pindelo,,,Pindelo,false,,Cidade: Pindelo
barbearia,38,JR - Cabeleireiro de Homens - Barbearia,jr-cabeleireiro-de-homens-barbearia,1,Ponte de Sor,Ponte de Sor,,,Ponte de Sor,false,,Cidade: Ponte de Sor
barbearia,39,Barbearia Inclusive,barbearia-inclusive,1,Póvoa de Santa Iria,Póvoa de Santa Iria,,,Póvoa de Santa Iria,false,,Cidade: Póvoa de Santa Iria
barbearia,40,Barbearia Abel,barbearia-abel,1,Prior Velho,Prior Velho,,,Prior Velho,false,,Cidade: Prior Velho
barbearia,41,Valgrind - The Viking Barber Tattoo Studio,valgrind-the-viking-barber-tattoo-studio,1,Quinta da Redonda,Quinta da Redonda,,,Quinta da Redonda,false,,Cidade: Quinta da Redonda
barbearia,42,Barbearia 98 Men’s Space,barbearia-98-men-s-space,1,Samora Correia,Samora Correia,,,Samora Correia,false,,Cidade: Samora Correia
barbearia,43,JL Barbearia,jl-barbearia,1,Santo Tirso,Santo Tirso,,,Santo Tirso,false,,Cidade: Santo Tirso
barbearia,44,Nineteen Cuts,nineteen-cuts,1,Santo Tirso,Santo Tirso,,,Santo Tirso,false,,Cidade: Santo Tirso
barbearia,45,Torrez Barbearia,torrez-barbearia,1,Santo Tirso,Santo Tirso,,,Santo Tirso,false,,Cidade: Santo Tirso
barbearia,46,Barber Shop,barber-shop,1,São Brás de Alportel,São Brás de Alportel,,,São Brás de Alportel,false,,Cidade: São Brás de Alportel
barbearia,47,Madeira Island Tattoo & Barber Shop,madeira-island-tattoo-barber-shop,1,São Martinho,São Martinho,,,São Martinho,false,,Cidade: São Martinho
barbearia,48,Barbearia Couto,barbearia-couto,1,Tocha,Tocha,,,Tocha,false,,Cidade: Tocha
barbearia,49,Bento's Barber Shop & Vespa Bar,bento-s-barber-shop-vespa-bar,1,Tocha,Tocha,,,Tocha,false,,Cidade: Tocha
barbearia,50,Barbearia Pereira – Águeda,barbearia-pereira-agueda,1,Águeda,Águeda,Aveiro,,Águeda,true,city_needs_district_context,Cidade: Águeda | Distrito: Aveiro
barbearia,51,Barbearia Elite – Aveiro,barbearia-elite-aveiro,1,Aveiro,Aveiro,Aveiro,,Aveiro,false,,Cidade: Aveiro
barbearia,52,Barbearia Ponto H,barbearia-ponto-h,1,Aveiro,Aveiro,Aveiro,,Aveiro,false,,Cidade: Aveiro
barbearia,53,Barbearia Moura – Espinho,barbearia-moura-espinho,1,Espinho,Espinho,Aveiro,,Espinho,true,city_needs_district_context,Cidade: Espinho | Distrito: Aveiro
barbearia,54,Barbearia Silvério – Ovar,barbearia-silverio-ovar,1,Ovar,Ovar,Aveiro,,Ovar,true,city_needs_district_context,Cidade: Ovar | Distrito: Aveiro
barbearia,55,Barbearia Lima – São João da Madeira,barbearia-lima-sao-joao-da-madeira,1,S. João da Madeira,São João da Madeira,Aveiro,,S. João da Madeira,true,city_needs_municipality_context|city_needs_district_context,Cidade: S. João da Madeira | Concelho: São João da Madeira | Distrito: Aveiro
barbearia,56,Barbearia Beja Moderna,barbearia-beja-moderna,1,Beja,Beja,Beja,,Beja,false,,Cidade: Beja
barbearia,57,Barbearia Fora D’Horas,barbearia-fora-d-horas,1,Braga,Braga,Braga,Guimarães,Braga,false,,Cidade: Braga | Zona: Guimarães
barbearia,58,BMbarbeariamonte,bmbarbeariamonte,1,Braga,Braga,Braga,,Braga,false,,Cidade: Braga
barbearia,59,FG Male Image & Grooming,fg-male-image-grooming,1,Braga,Braga,Braga,,Braga,false,,Cidade: Braga
barbearia,60,M2 BARBEARIA,m2-barbearia,1,Braga,Braga,Braga,,Braga,false,,Cidade: Braga
