id,nome,slug,address_raw,current_city,current_zone,current_postal_code,inferred_locality,normalized_city,normalized_zone,normalized_postal_code,street,street_number,data_confidence,auto_fixable,needs_review,reasons
1,Barbearia Fora D’Horas,,"Rua de Santa Eulália, Guimarães, Braga 4800-098",,,,Braga,Braga,Guimarães,4800-098,Rua de Santa Eulália,,high,true,false,city_missing_with_valid_locality
2,Treze Barbershop,,"Praceta Padre Luís Gonzaga Fonseca, Loja 23, Guimarães",,,,Guimarães,Guimarães,,,Praceta Padre Luís Gonzaga Fonseca,Loja 23,medium,true,false,city_missing_with_valid_locality
3,Black Rock Barbearia,,"Largo da República do Brasil, C. Comercial São Francisco, Loja 32, Guimarães",,,,Guimarães,Guimarães,,,Largo da República do Brasil,Loja 32,medium,true,false,city_missing_with_valid_locality
4,NewVision Barbershop,,"Rua Teixeira de Pascoais, 452, Guimarães",,,,Guimarães,Guimarães,,,Rua Teixeira de Pascoais,452,medium,true,false,city_missing_with_valid_locality
5,The Barbers Studio,,"Rua Teixeira de Pascoais, 40B, Guimarães",,,,Guimarães,Guimarães,,,Rua Teixeira de Pascoais,40B,medium,true,false,city_missing_with_valid_locality
6,1920 Barber Shop,,"GuimarãeShopping, Guimarães",,,,Guimarães,Guimarães,,,GuimarãeShopping,,medium,true,false,city_missing_with_valid_locality
7,Barbearia Fafense,,"Rua Ponte do Ranha, nº 298, Fafe",,,,Fafe,Fafe,,,Rua Ponte do Ranha,,medium,true,false,city_missing_with_valid_locality
8,Barbershop DuArt,,"Rua dos Aliados, Loja 5, 4820-248 Fafe",,,,Fafe,Fafe,,4820-248,Rua dos Aliados,Loja 5,high,true,false,city_missing_with_valid_locality
9,Korte JB Barbershop,,"R. Constituição da República 29, 4620-657 Lousada",,,,Lousada,Lousada,,4620-657,R. Constituição da República,29,high,true,false,city_missing_with_valid_locality
10,Barbearia Valadar,,"Rua Eng. Moura Pegado 2, 5340-211 Macedo de Cavaleiros",,,,Macedo de Cavaleiros,Macedo de Cavaleiros,,5340-211,Rua Eng. Moura Pegado,2,high,true,false,city_missing_with_valid_locality
